examination_title,update_date,section_type,examination_info_sort,title,question_number,question_message,answer_type,answer_number,answer_message,answer_pic_url,map_question,map_answer,time
health_14_35_days,20210111,examination_info,1,영양 교육,5,완전모유수유 시에는 아이에게 비타민 D가 부족해질 수있습니다. 비타민 D를 먹이고 있습니까? ,list_select_one,3,해당 없음,"","","",1611500400
health_14_35_days,20210111,examination_info,1,영양 교육,6,수유 전에 유두 부위를 소독하지 않아도 된다는 것을 알고 있습니까?,"","","","","","",1611500400
health_14_35_days,20210111,examination_info,1,영양 교육,6,수유 전에 유두 부위를 소독하지 않아도 된다는 것을 알고 있습니까?,list_select_one,1,예,"","","",1611500400
health_14_35_days,20210111,examination_info,1,영양 교육,6,수유 전에 유두 부위를 소독하지 않아도 된다는 것을 알고 있습니까?,list_select_one,2,아니오,"","","",1611500400
health_14_35_days,20210111,examination_info,1,영양 교육,6,수유 전에 유두 부위를 소독하지 않아도 된다는 것을 알고 있습니까?,list_select_one,3,해당 없음,"","","",1611500400
health_14_35_days,20210111,examination_info,1,영양 교육,7,이 시기에는 노리개 젖꼭지를 사용하지않는 것을 권하고 있습니다. 이를 알고 있습니까?,boolean,"","","","","",1611500400
health_14_35_days,20210111,examination_info,1,영양 교육,8,황달 때문에 모유수유를 중단한 적이 있습니까?,boolean,"","","","","",1611500400
health_14_35_days,20210111,examination_info,1,영양 교육,9,"모유수유 중인 엄마가 영양제,한약재,건강보조식품 등을 과하게 섭취하면 아이에게 영향을 미칠 수 있다는 것을 알고 있습니까?",list_select_one,"","","","","",1611500400
health_14_35_days,20210111,examination_info,1,영양 교육,9,"모유수유 중인 엄마가 영양제,한약재,건강보조식품 등을 과하게 섭취하면 아이에게 영향을 미칠 수 있다는 것을 알고 있습니까?",list_select_one,1,예,"","","",1611500400
health_14_35_days,20210111,examination_info,1,영양 교육,9,"모유수유 중인 엄마가 영양제,한약재,건강보조식품 등을 과하게 섭취하면 아이에게 영향을 미칠 수 있다는 것을 알고 있습니까?",list_select_one,2,아니오,"","","",1611500400
health_14_35_days,20210111,examination_info,1,영양 교육,9,"모유수유 중인 엄마가 영양제,한약재,건강보조식품 등을 과하게 섭취하면 아이에게 영향을 미칠 수 있다는 것을 알고 있습니까?",list_select_one,3,해당 없음,"","","",1611500400
health_14_35_days,20210111,examination_info,2,수면 교육,0,"","","","","","","",1611500400
health_14_35_days,20210111,examination_info,2,수면 교육,1,아이를 엎드려 재우거나 옆으로 눕혀서 재웁니까?,"","","","","","",1611500400
health_14_35_days,20210111,examination_info,2,수면 교육,2,"아이가 부모와 같은 잠자리(침대,요)에서 함께 잡니까?",boolean,"","","","","",1611500400
health_14_35_days,20210111,examination_info,2,수면 교육,3,아이가 잘 때 이불은 가슴아래만 덮어주고 속마개는 사용 하지 않습니까?,boolean,"","","","","",1611500400
health_14_35_days,20210111,examination_info,2,수면 교육,4,"아이 잠자리 주변에 인형이나 쿠션을 두거나, 범퍼침대나 푹신한 요, 카시트나 역류방지쿠션에서 아이를 재웁니까?",boolean,"","","","","",1611500400
health_14_35_days,20210111,examination_info,2,수면 교육,5,신생아는 밤낮 구분 없이 자고 합니다. 아이의 수면 리듬에 맞추어 수유하는 것이 모유수유를 촉진한다는 것을 알고 있습니까?,boolean,"","","","","",1611500400
health_14_35_days,20210111,examination_info,2,수면 교육,6,모유수유가 영유아돌연사 증후군을 예방한다는 것을 알고 있습니까?,boolean,"","","","","",1611500400
health_14_35_days,20210111,examination_info,2,수면 교육,7,"아이를 재우기 전에 목욕, 마사지, 자장가, 책읽기 등의 규칙적인 행동을 합니까?",boolean,"","","","","",1611500400
health_14_35_days,20210111,examination_info,2,수면 교육,8,함께 거주하는 가족이나 아이가 자주 접촉하는 사람 중에 흡연자가 있습니까?,boolean,"","","","","",1611500400
health_14_35_days,20210111,examination_info,3,안전사고 예방 교육전,0,"","","","","","","",1611500400
health_14_35_days,20210111,examination_info,3,안전사고 예방 교육전,1,자동차 이동 시 연령과 체중에 맞는 카시트를 반드시 사용하 겠습니까?,boolean,"","","","","",1611500400
health_14_35_days,20210111,examination_info,3,안전사고 예방 교육전,2,"아이를 안고 있는 상태에서 전화를 받거나, 커피를 마시거 나, 가방을 들거나, 물건을 옮기거나, 떨어진 물건을 줍는 행동을 할 때는 반드시 아이를 난간이 있는 아이 침대 등에 내려놓은 후 행동해야 한다는 사실을 알고 있습니까?",boolean,"","","","","",1611500400
health_14_35_days,20210111,examination_info,3,안전사고 예방 교육전,3,"아이를 안아 달랠 때, 심하게 흔들면 좋지 않다는 것을 알고 있 습니까?",boolean,"","","","","",1611500400
health_14_35_days,20210111,examination_info,3,안전사고 예방 교육전,4,아이를 전기장판이나 온수매트 위에서 재운 적이 있습니까?,boolean,"","","","","",1611500400
health_14_35_days,20210111,examination_info,4,신생아기 관련,0,"","","","","","","",1611500400
health_14_35_days,20210111,examination_info,4,신생아기 관련,1,신생아 선천성 대사이상검사를 받았습니까?,"","","","","","",1611500400
health_14_35_days,20200111,baby_info,"",아이정보,3,신장,string,"","","","","",1611500400
health_14_35_days,20200111,baby_info,"",아이정보,4,머리둘레,string,"","","","","",1611500400
health_14_35_days,20200111,baby_info,"",아이정보,5,아이가 미숙아로 태어났습니까?,"","","","","","",1611500400
health_14_35_days,20200111,baby_info,"",아이정보,5,아이가 미숙아로 태어났습니까?,list_boolean_string,1,예,"","","",1611500400
health_14_35_days,20200111,baby_info,"",아이정보,5,아이가 미숙아로 태어났습니까?,list_boolean_string,1,분만 예정일은?,"","","",1611500400
health_14_35_days,20200111,baby_info,"",아이정보,5,아이가 미숙아로 태어났습니까?,list_boolean_string,1,혹은 제태연령,"","","",1611500400
health_14_35_days,20200111,baby_info,"",아이정보,5,아이가 미숙아로 태어났습니까?,list_boolean_string,2,아니요,"","","",1611500400
health_14_35_days,20200111,baby_info,"",아이정보,6,지금까지 실시한 예방접종에 표시하여 주십시오(해당란에 횟수를 표시 하십시오),"","","","","","",1611500400
health_14_35_days,20200111,baby_info,"",아이정보,6,지금까지 실시한 예방접종에 표시하여 주십시오(해당란에 횟수를 표시 하십시오),list_map,1,"","",비씨지,예방 접종 시행 횟수,1611500400
health_14_35_days,20200111,baby_info,"",아이정보,6,지금까지 실시한 예방접종에 표시하여 주십시오(해당란에 횟수를 표시 하십시오),list_map,2,"","",B형 간염,예방 접종 시행 횟수,1611500400
health_14_35_days,20200111,examination_info,1,영양 교육,0,"","","","","","","",1611500400
health_14_35_days,20210111,examination_info,1,영양 교육,1,완전 모유 수유를 합니까?,boolean,"","","","","",1611500400
health_14_35_days,20210111,examination_info,1,영양 교육,2,밤중수유를 하면 유즙분비 호르몬이 증가하여 모유량이 증가합니다. 밤중수유를 하고 있습니까?,boolean,"","","","","",1611500400
health_14_35_days,20210111,examination_info,1,영양 교육,3,모유는 아이가 원할 때마다 수유를 해야 합니다. 아이가 배고픔을 표현하는 신호들(얼굴표정이나 몸짓)을 상세히 아십니까?,boolean,"","","","","",1611500400
health_14_35_days,20210111,examination_info,1,영양 교육,4,"유선염, 유방울혈, 등 유방에 문제가 생겼을 때 더 열심히 모유 수유를 해야 문제해결이 되는 것을 알고 있습니까?","","","","","","",1611500400
health_14_35_days,20210111,examination_info,1,영양 교육,4,"유선염, 유방울혈, 등 유방에 문제가 생겼을 때 더 열심히 모유 수유를 해야 문제해결이 되는 것을 알고 있습니까?",list_select_one,1,예,"","","",1611500400
health_14_35_days,20210111,examination_info,4,신생아기 관련,1,신생아 선천성 대사이상검사를 받았습니까?,list_select_one,1,예,"","","",1611500400
health_14_35_days,20210111,examination_info,4,신생아기 관련,1,신생아 선천성 대사이상검사를 받았습니까?,list_select_one,2,아니오,"","","",1611500400
health_14_35_days,20210111,examination_info,4,신생아기 관련,1,신생아 선천성 대사이상검사를 받았습니까?,list_select_one,3,모름,"","","",1611500400
health_14_35_days,20210111,examination_info,4,신생아기 관련,2,신생아 선천성 대사이상 검사에서 결과가 정상(음성 또는 이상 없음) 판정을 받았습니까?,"","","","","","",1611500400
health_14_35_days,20210111,examination_info,4,신생아기 관련,2,신생아 선천성 대사이상 검사에서 결과가 정상(음성 또는 이상 없음) 판정을 받았습니까?,list_select_one,1,예,"","","",1611500400
health_14_35_days,20210111,examination_info,4,신생아기 관련,2,신생아 선천성 대사이상 검사에서 결과가 정상(음성 또는 이상 없음) 판정을 받았습니까?,list_select_one,2,아니오,"","","",1611500400
health_14_35_days,20210111,examination_info,4,신생아기 관련,2,신생아 선천성 대사이상 검사에서 결과가 정상(음성 또는 이상 없음) 판정을 받았습니까?,list_select_one,3,모름,"","","",1611500400
health_14_35_days,20210111,examination_info,4,신생아기 관련,3,출생 후 아이가 산후조리원에서 지낸 적이 있습니까?,boolean,"","","","","",1611500400
health_14_35_days,20210111,examination_info,4,신생아기 관련,4,모자 동실(엄마와 아이가 같은 방에서 지내는 방식)을 얼마나 하였습니까?,"","","","","","",1611500400
health_14_35_days,20210111,examination_info,4,신생아기 관련,4,모자 동실(엄마와 아이가 같은 방에서 지내는 방식)을 얼마나 하였습니까?,list_select_one,1,4시간 이내,"","","",1611500400
health_14_35_days,20210111,examination_info,4,신생아기 관련,4,모자 동실(엄마와 아이가 같은 방에서 지내는 방식)을 얼마나 하였습니까?,list_select_one,2,낮 동안만,"","","",1611500400
health_14_35_days,20210111,examination_info,4,신생아기 관련,4,모자 동실(엄마와 아이가 같은 방에서 지내는 방식)을 얼마나 하였습니까?,list_select_one,3,하루 종일,"","","",1611500400
health_14_35_days,20210111,examination_info,4,신생아기 관련,4,모자 동실(엄마와 아이가 같은 방에서 지내는 방식)을 얼마나 하였습니까?,list_select_one,4,안 함,"","","",1611500400
health_14_35_days,20210111,examination_info,4,신생아기 관련,5,아이의 최근 대변 색깔과 비슷한 색깔은 어느 것인가요?,"","","","","","",1611500400
health_14_35_days,20210111,examination_info,4,신생아기 관련,5,아이의 최근 대변 색깔과 비슷한 색깔은 어느 것인가요?,list_select_one,1,"초록색, 짙은 초록색",5-1,"","",1611500400
health_14_35_days,20210111,examination_info,4,신생아기 관련,5,아이의 최근 대변 색깔과 비슷한 색깔은 어느 것인가요?,list_select_one,2,"짙은 노란색, 황금색, 갈색",5-2,"","",1611500400
health_14_35_days,20210111,examination_info,4,신생아기 관련,5,아이의 최근 대변 색깔과 비슷한 색깔은 어느 것인가요?,list_select_one,3,"레몬색, 콩비지색, 회색, 흰색",5-3,"","",1611500400
health_14_35_days,20210111,examination_info,4,신생아기 관련,5,아이의 최근 대변 색깔과 비슷한 색깔은 어느 것인가요?,list_select_one,4,해당 없음,"","","",1611500400
health_14_35_days,20210111,examination_info,5,시각 관련,0,"","","","","","","",1611500400
health_14_35_days,20210111,examination_info,5,시각 관련,1,안구에 이상 소견이 보입니까?,boolean,"","","","","",1611500400
health_14_35_days,20210111,examination_info,5,시각 관련,2,"가족 중에 눈과 관련된 유전질환(망막모세포종, 선천 백내장, 선천녹내장 등)을 가진 사람이 있습니까?",boolean,"","","","","",1611500400
health_14_35_days,20210111,examination_info,6,엉덩이 관절 관련,0,"","","","","","","",1611500400
health_14_35_days,20210111,examination_info,6,엉덩이 관절 관련,1,임신말기까지 '둔위(태아의 다리가 아래를 향하는 자세 ')가 지속되었습니까?,"","","","","","",1611500400
health_14_35_days,20210111,examination_info,6,엉덩이 관절 관련,1,임신말기까지 '둔위(태아의 다리가 아래를 향하는 자세 ')가 지속되었습니까?,list_select_one,1,예,"","","",1611500400
health_14_35_days,20210111,examination_info,6,엉덩이 관절 관련,1,임신말기까지 '둔위(태아의 다리가 아래를 향하는 자세 ')가 지속되었습니까?,list_select_one,2,아니오,"","","",1611500400
health_14_35_days,20210111,examination_info,6,엉덩이 관절 관련,1,임신말기까지 '둔위(태아의 다리가 아래를 향하는 자세 ')가 지속되었습니까?,list_select_one,3,모름,"","","",1611500400
health_14_35_days,20210111,examination_info,6,엉덩이 관절 관련,2,양수과소증 (양수가 조금밖에 없는 상태)'이 있었습니 까?,"","","","","","",1611500400
health_14_35_days,20210111,examination_info,6,엉덩이 관절 관련,2,양수과소증 (양수가 조금밖에 없는 상태)'이 있었습니 까?,list_select_one,1,예,"","","",1611500400
health_14_35_days,20210111,examination_info,6,엉덩이 관절 관련,2,양수과소증 (양수가 조금밖에 없는 상태)'이 있었습니 까?,list_select_one,2,아니오,"","","",1611500400
health_14_35_days,20210111,examination_info,6,엉덩이 관절 관련,2,양수과소증 (양수가 조금밖에 없는 상태)'이 있었습니 까?,list_select_one,3,모름,"","","",1611500400
health_14_35_days,20210111,examination_info,6,엉덩이 관절 관련,3,가족(부모나 형제)중 발달성 고관절 이형성증(영아기에 엉덩이 관절에 문제가 있는 증상) 환자가 있었습니까?,"","","","","","",1611500400
health_14_35_days,20210111,examination_info,6,엉덩이 관절 관련,3,가족(부모나 형제)중 발달성 고관절 이형성증(영아기에 엉덩이 관절에 문제가 있는 증상) 환자가 있었습니까?,list_select_one,1,예,"","","",1611500400
health_14_35_days,20210111,examination_info,6,엉덩이 관절 관련,3,가족(부모나 형제)중 발달성 고관절 이형성증(영아기에 엉덩이 관절에 문제가 있는 증상) 환자가 있었습니까?,list_select_one,2,아니오,"","","",1611500400
health_14_35_days,20210111,examination_info,6,엉덩이 관절 관련,3,가족(부모나 형제)중 발달성 고관절 이형성증(영아기에 엉덩이 관절에 문제가 있는 증상) 환자가 있었습니까?,list_select_one,3,모름,"","","",1611500400
health_14_35_days,20210111,examination_info,7,청각 관련,0,"","","","","","","",1611500400
health_14_35_days,20210111,examination_info,7,청각 관련,1,"큰 소리가 났을 때 아이가 잠에서 깨거나, 놀라거나, 표정 변 화 등의 반응이 있습니까?",boolean,"","","","","",1611500400
health_14_35_days,20210111,examination_info,7,청각 관련,2,신생아 청걱선별검사(청력검사)를 받았습니까? (미숙아인 경 우 출생 예정일을 기준으로 1개월 이내),boolean,"","","","","",1611500400
health_14_35_days,20210111,examination_info,7,청각 관련,3,신생아 청각선별검사에서 한쪽 또는 양쪽 귀에서 '재검 (refer)' 판정을 받았습니까?,"","","","","","",1611500400
health_14_35_days,20210111,examination_info,7,청각 관련,3,신생아 청각선별검사에서 한쪽 또는 양쪽 귀에서 '재검 (refer)' 판정을 받았습니까?,list_select_one,1,예,"","","",1611500400
health_14_35_days,20210111,examination_info,7,청각 관련,3,신생아 청각선별검사에서 한쪽 또는 양쪽 귀에서 '재검 (refer)' 판정을 받았습니까?,list_select_one,2,아니오,"","","",1611500400
health_14_35_days,20210111,examination_info,7,청각 관련,3,신생아 청각선별검사에서 한쪽 또는 양쪽 귀에서 '재검 (refer)' 판정을 받았습니까?,list_select_one,3,"","","","",1611500400
health_14_35_days,20210111,examination_info,8,개인 위생 관련,0,"","","","","","","",1611500400
health_14_35_days,20210111,examination_info,8,개인 위생 관련,1,아이의 입술에 직접 뽀뽀를 할때가 있습니까?,boolean,"","","","","",1611500400
health_14_35_days,20210111,examination_info,8,개인 위생 관련,2,"아이의 기저귀를 갈고 난 후, 항상 손을 씻습니까?",boolean,"","","","","",1611500400
